Seed,Method,N_candidates,Physical_Pareto,Surrogate_Pareto,Pareto_TP,Pareto_FP,Pareto_FN,Pareto_Precision,Pareto_Recall,Pareto_F1,Physical_WinWin,Surrogate_WinWin,WinWin_TP,WinWin_FP,WinWin_FN,WinWin_Precision,WinWin_Recall,WinWin_F1
42,XGBoost,30000,76,45,13,32,63,0.28888888888888886,0.17105263157894737,0.21487603305785125,1067,566,386,180,681,0.6819787985865724,0.36176194939081535,0.47274954072259645
42,RSM,30000,76,92,63,29,13,0.6847826086956522,0.8289473684210527,0.7499999999999999,1067,1475,375,1100,692,0.2542372881355932,0.3514526710402999,0.2950432730133753
43,XGBoost,30000,89,49,13,36,76,0.2653061224489796,0.14606741573033707,0.18840579710144928,1045,534,359,175,686,0.6722846441947565,0.3435406698564593,0.4547181760607979
43,RSM,30000,89,99,69,30,20,0.696969696969697,0.7752808988764045,0.7340425531914893,1045,1471,378,1093,667,0.25696804894629505,0.3617224880382775,0.3004769475357711
44,XGBoost,30000,83,58,11,47,72,0.1896551724137931,0.13253012048192772,0.15602836879432622,1071,553,367,186,704,0.6636528028933092,0.3426704014939309,0.45197044334975367
44,RSM,30000,83,92,67,25,16,0.7282608695652174,0.8072289156626506,0.7657142857142857,1071,1475,387,1088,684,0.26237288135593223,0.36134453781512604,0.3040062843676355
45,XGBoost,30000,81,55,12,43,69,0.21818181818181817,0.14814814814814814,0.17647058823529413,1051,574,411,163,640,0.7160278745644599,0.3910561370123692,0.5058461538461538
45,RSM,30000,81,86,59,27,22,0.686046511627907,0.7283950617283951,0.7065868263473054,1051,1531,413,1118,638,0.2697583278902678,0.39295908658420553,0.3199070487993803
46,XGBoost,30000,78,51,15,36,63,0.29411764705882354,0.19230769230769232,0.23255813953488372,1014,510,379,131,635,0.7431372549019608,0.373767258382643,0.49737532808398954
46,RSM,30000,78,88,57,31,21,0.6477272727272727,0.7307692307692307,0.6867469879518072,1014,1505,384,1121,630,0.25514950166112954,0.378698224852071,0.30488289003572844
