candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM
35,36.894713590842855,143.145145220223,154.11703468577116,21.707280895789104,138.62281936886757,0.3,1.5736072,27.579391,1.5865931735221666,27.85933164240956
509,36.158567243352685,141.62233894219906,160.3587590746342,19.38954468867267,136.6611450864274,0.3,1.5042558,26.743273,1.5097448392710202,26.68250221457814
2019,38.737180028823516,143.1227860523271,156.4079639843138,20.53269100225741,146.1469407719354,0.3,1.6069033,28.323643,1.6227094960746897,28.506497428972256
2495,40.22141447209002,141.11121576348145,155.74991042585557,18.31783645105606,136.93592450476527,0.3,1.5479473,27.157158,1.5409612129593988,27.189701268795435
2889,36.26858747961717,143.12247628292667,160.90980930909154,18.889600483198,135.04422832240246,0.3,1.4972678,26.510143,1.5026028415985553,26.391293522044226
3208,36.09487325700815,143.0869777073979,154.03501618306183,19.003198618323975,146.2795438471413,0.3,1.6267813,28.618223,1.6597800563374894,28.927633367286095
3771,44.61260516748379,143.0876352556727,152.79838381480164,18.378275324721237,154.63224150143228,0.3,1.665292,29.32756,1.7032163696242284,29.823063148740797
5631,36.797717077949116,142.84910268178115,152.55522714989385,21.24548073637334,153.19054125083858,0.3,1.6713524,29.731848,1.720159840845219,30.089733313062315
6068,37.8880106681578,143.09547346716184,156.06789256898045,18.0941464576447,151.95072410853865,0.3,1.6455158,28.879486,1.6836971631025048,29.33238091561532
7294,41.46179168610076,142.25447134659257,156.23087867086588,18.311469364215252,138.83756787039886,0.3,1.5553173,27.219135,1.55555206491134,27.373269410921342
7342,43.77926891816704,143.1095079700143,155.54356461748696,18.39152367472226,149.39035443700132,0.3,1.6311152,28.638979,1.6430598360284883,28.8256262042382
8200,35.219766789410194,141.3553866823456,158.94645426790032,20.20625473985027,135.0308596688433,0.3,1.507407,26.753166,1.5081133529579103,26.664598956935567
9605,44.43784751596329,142.6375051608717,160.98573701889146,24.408114479127505,135.37700814383857,0.3,1.4703015,26.406523,1.4628791973514401,26.272400937574307
11123,35.77189625439404,143.01402054956435,156.45240195219543,18.145756007076926,135.05178724426383,0.3,1.5419072,26.894085,1.5474134500012382,26.992618985095238
11869,37.16671714294643,140.8151253619867,161.9083952950233,18.535673859981117,136.32192898886126,0.3,1.5029825,26.672836,1.4870972727122354,26.38361554890447
11873,35.03362286231379,141.53959458290052,155.56454281840195,18.367505868722226,136.15322637796228,0.3,1.5498264,27.16159,1.556182162870742,27.271519911311632
12445,36.629942787861566,143.12826335576815,152.036672257905,18.149762179978943,139.7045384544791,0.3,1.5874947,27.832422,1.6242529601626416,28.242343732397106
13533,44.095623770231384,142.19281630631087,160.53719821632427,18.02334804229266,135.38750464195635,0.3,1.4777509,26.413633,1.4847583655924783,26.26195838444426
