Model,Seed,Valid_Samples,R2,RMSE,MAE,Top10_R2,Top10_RMSE,Top10_MAE,MuHigh_R2,MuHigh_RMSE,MuHigh_MAE
Tuning 2,2026,500,0.9995291719660871,0.013301349345129882,0.009419922211770694,0.9735568667781435,0.02571413875605633,0.019267685242745428,0.9817424658852845,0.024895242773573203,0.019260824331717188
Tuning 2,2027,500,0.9995369536031954,0.013568239174955223,0.009597664377909883,0.9666257084406886,0.025232487847261717,0.02078155061042768,0.9834331062907029,0.023440948325891293,0.019139948146316442
Tuning 2,2028,500,0.9995384556975055,0.013540978017972462,0.009941589238262185,0.9732482113967746,0.02101793573868718,0.01630304446787596,0.9867674717388542,0.02100592805345439,0.01643311118860142
Tuning 2,2029,500,0.9995914617598984,0.012762039680538503,0.00910946452006038,0.959702336145268,0.023256498730453882,0.0177477786740364,0.9820832838506812,0.020907611685455716,0.01593433683489164
Tuning 2,2030,500,0.9996203662039485,0.011936739472023521,0.008884585570923862,0.9713316949933651,0.02239770923220259,0.01821528382747231,0.9815788931087811,0.021001045888602656,0.016910666516246068
Tuning 3,2026,500,0.9995507294558035,0.012993271576845563,0.009255089774151605,0.978921092522819,0.022958292005570424,0.017023111560658784,0.9856390191792391,0.02207940452814056,0.016938112033725826
Tuning 3,2027,500,0.9995868939256778,0.012815690966826696,0.009280792327432723,0.9720938143608346,0.023073011599465877,0.017667821555286185,0.9860742116962724,0.021491391172401404,0.016109774741890796
Tuning 3,2028,500,0.9995422344161025,0.013485433290404305,0.009518596985090347,0.9645089408862053,0.024208792485259662,0.01790411650964499,0.9829334828641223,0.02385574089583271,0.018151575751203016
Tuning 3,2029,500,0.9995771924404759,0.012983001449153228,0.009582811307962725,0.9629347196321395,0.02230427145546254,0.017778610131619414,0.9807029849582993,0.021698029056105045,0.016682261135073345
Tuning 3,2030,500,0.9996331020968511,0.01173480551439827,0.008350963242864025,0.9698346006685166,0.02297508535961232,0.017716077542796277,0.9807884677060494,0.02144687720227856,0.01614927178430468
Tuning 5,2026,500,0.9990290379822655,0.019101420434772625,0.01324530298849151,0.945506092590763,0.03691386344591469,0.027686305804527488,0.9629018992438382,0.035487151745155696,0.026890180808912957
Tuning 5,2027,500,0.9990061736004626,0.019877716873135113,0.014263081348125753,0.9336238408316611,0.03558443742392116,0.02918255113286069,0.9635248627337805,0.034781883973677825,0.02845432798741221
Tuning 5,2028,500,0.9989054819676505,0.02085233994903585,0.014750708439787163,0.9089117320722329,0.038783309843745215,0.029380643859364054,0.9588140821594384,0.037059097007730905,0.028593974060829214
Tuning 5,2029,500,0.9989725319531686,0.02023894620717714,0.014328220716826852,0.8822441583839407,0.03975535424662675,0.03176521517178396,0.9478793320793867,0.035659906900568104,0.02806060609222475
Tuning 5,2030,500,0.999097204556166,0.018407633579029595,0.012970948821745328,0.9226960739911259,0.03677929240147317,0.028181610020995302,0.9522451087888693,0.03381364529572234,0.025953900026854666
