parameter,value,mu,BF
L1_mm,35.0,0.3,1.5532575
L1_mm,35.1,0.3,1.5574476
L1_mm,35.2,0.3,1.558398
L1_mm,35.3,0.3,1.5566496
L1_mm,35.4,0.3,1.5567204
L1_mm,35.5,0.3,1.553387
L1_mm,35.6,0.3,1.5535812
L1_mm,35.7,0.3,1.5556797
L1_mm,35.8,0.3,1.553834
L1_mm,35.9,0.3,1.553834
L1_mm,36.0,0.3,1.5544124
L1_mm,36.1,0.3,1.5545805
L1_mm,36.2,0.3,1.5544175
L1_mm,36.3,0.3,1.5553352
L1_mm,36.4,0.3,1.5550977
L1_mm,36.5,0.3,1.5541291
L1_mm,36.6,0.3,1.5540991
L1_mm,36.7,0.3,1.5523288
L1_mm,36.8,0.3,1.5527253
L1_mm,36.9,0.3,1.5527253
L1_mm,37.0,0.3,1.5527253
L1_mm,37.1,0.3,1.5533801
L1_mm,37.2,0.3,1.5524868
L1_mm,37.3,0.3,1.5525941
L1_mm,37.4,0.3,1.5525941
L1_mm,37.5,0.3,1.5513805
L1_mm,37.6,0.3,1.5509723
L1_mm,37.7,0.3,1.5509723
L1_mm,37.8,0.3,1.551485
L1_mm,37.9,0.3,1.5518886
L1_mm,38.0,0.3,1.5522355
L1_mm,38.1,0.3,1.5515194
L1_mm,38.2,0.3,1.5534625
L1_mm,38.3,0.3,1.5508342
L1_mm,38.4,0.3,1.5505313
L1_mm,38.5,0.3,1.550411
L1_mm,38.6,0.3,1.550411
L1_mm,38.7,0.3,1.5506064
L1_mm,38.8,0.3,1.5499725
L1_mm,38.9,0.3,1.5491081
L1_mm,39.0,0.3,1.5491081
L1_mm,39.1,0.3,1.5493864
L1_mm,39.2,0.3,1.5497599
L1_mm,39.3,0.3,1.5482472
L1_mm,39.4,0.3,1.5481297
L1_mm,39.5,0.3,1.547028
L1_mm,39.6,0.3,1.5461783
L1_mm,39.7,0.3,1.5455687
L1_mm,39.8,0.3,1.5455687
L1_mm,39.9,0.3,1.5455687
L1_mm,40.0,0.3,1.5455687
L1_mm,40.1,0.3,1.5455687
L1_mm,40.2,0.3,1.5455687
L1_mm,40.3,0.3,1.5455687
L1_mm,40.4,0.3,1.5457858
L1_mm,40.5,0.3,1.5459307
L1_mm,40.6,0.3,1.5461401
L1_mm,40.7,0.3,1.5461401
L1_mm,40.8,0.3,1.5457622
L1_mm,40.9,0.3,1.5462085
L1_mm,41.0,0.3,1.5462415
L1_mm,41.1,0.3,1.5459992
L1_mm,41.2,0.3,1.545734
L1_mm,41.3,0.3,1.54563
L1_mm,41.4,0.3,1.5455543
L1_mm,41.5,0.3,1.5447847
L1_mm,41.6,0.3,1.5437729
L1_mm,41.7,0.3,1.5451175
L1_mm,41.8,0.3,1.5452611
L1_mm,41.9,0.3,1.5448712
L1_mm,42.0,0.3,1.5441561
L1_mm,42.1,0.3,1.5441561
L1_mm,42.2,0.3,1.5441341
L1_mm,42.3,0.3,1.5441341
L1_mm,42.4,0.3,1.5431929
L1_mm,42.5,0.3,1.542786
L1_mm,42.6,0.3,1.542786
L1_mm,42.7,0.3,1.5388719
L1_mm,42.8,0.3,1.5387485
L1_mm,42.9,0.3,1.537299
L1_mm,43.0,0.3,1.5369574
L1_mm,43.1,0.3,1.536024
L1_mm,43.2,0.3,1.5359992
L1_mm,43.3,0.3,1.5360621
L1_mm,43.4,0.3,1.5370225
L1_mm,43.5,0.3,1.5385518
L1_mm,43.6,0.3,1.537657
L1_mm,43.7,0.3,1.538712
L1_mm,43.8,0.3,1.5368624
L1_mm,43.9,0.3,1.5368624
L1_mm,44.0,0.3,1.5396024
L1_mm,44.1,0.3,1.539292
L1_mm,44.2,0.3,1.5359586
L1_mm,44.3,0.3,1.5353256
L1_mm,44.4,0.3,1.5354347
L1_mm,44.5,0.3,1.5349325
L1_mm,44.6,0.3,1.5356212
L1_mm,44.7,0.3,1.5355685
L1_mm,44.8,0.3,1.5356625
L1_mm,44.9,0.3,1.5393069
L1_mm,45.0,0.3,1.5402607
L3_mm,138.15,0.3,1.5308051
