parameter,value,mu,BF,Delta_BF
L1_mm,35.0,0.3,1.5532575,0.0076887608
L1_mm,35.1,0.3,1.5574476,0.011878848
L1_mm,35.2,0.3,1.558398,0.012829304
L1_mm,35.3,0.3,1.5566496,0.011080861
L1_mm,35.4,0.3,1.5567204,0.011151671
L1_mm,35.5,0.3,1.553387,0.007818341
L1_mm,35.6,0.3,1.5535812,0.008012533
L1_mm,35.7,0.3,1.5556797,0.010110974
L1_mm,35.8,0.3,1.553834,0.008265257
L1_mm,35.9,0.3,1.553834,0.008265257
L1_mm,36.0,0.3,1.5544124,0.00884366
L1_mm,36.1,0.3,1.5545805,0.009011745
L1_mm,36.2,0.3,1.5544175,0.008848786
L1_mm,36.3,0.3,1.5553352,0.009766459
L1_mm,36.4,0.3,1.5550977,0.009528995
L1_mm,36.5,0.3,1.5541291,0.008560419
L1_mm,36.6,0.3,1.5540991,0.008530378
L1_mm,36.7,0.3,1.5523288,0.0067601204
L1_mm,36.8,0.3,1.5527253,0.0071566105
L1_mm,36.9,0.3,1.5527253,0.0071566105
L1_mm,37.0,0.3,1.5527253,0.0071566105
L1_mm,37.1,0.3,1.5533801,0.007811427
L1_mm,37.2,0.3,1.5524868,0.0069180727
L1_mm,37.3,0.3,1.5525941,0.007025361
L1_mm,37.4,0.3,1.5525941,0.007025361
L1_mm,37.5,0.3,1.5513805,0.0058118105
L1_mm,37.6,0.3,1.5509723,0.005403638
L1_mm,37.7,0.3,1.5509723,0.005403638
L1_mm,37.8,0.3,1.551485,0.005916238
L1_mm,37.9,0.3,1.5518886,0.0063198805
L1_mm,38.0,0.3,1.5522355,0.0066667795
L1_mm,38.1,0.3,1.5515194,0.0059506893
L1_mm,38.2,0.3,1.5534625,0.007893801
L1_mm,38.3,0.3,1.5508342,0.0052654743
L1_mm,38.4,0.3,1.5505313,0.0049625635
L1_mm,38.5,0.3,1.550411,0.0048422813
L1_mm,38.6,0.3,1.550411,0.0048422813
L1_mm,38.7,0.3,1.5506064,0.0050376654
L1_mm,38.8,0.3,1.5499725,0.0044038296
L1_mm,38.9,0.3,1.5491081,0.003539443
L1_mm,39.0,0.3,1.5491081,0.003539443
L1_mm,39.1,0.3,1.5493864,0.0038176775
L1_mm,39.2,0.3,1.5497599,0.00419116
L1_mm,39.3,0.3,1.5482472,0.0026785135
L1_mm,39.4,0.3,1.5481297,0.0025609732
L1_mm,39.5,0.3,1.547028,0.0014592409
L1_mm,39.6,0.3,1.5461783,0.0006096363
L1_mm,39.7,0.3,1.5455687,0.0
L1_mm,39.8,0.3,1.5455687,0.0
L1_mm,39.9,0.3,1.5455687,0.0
L1_mm,40.0,0.3,1.5455687,0.0
L1_mm,40.1,0.3,1.5455687,0.0
L1_mm,40.2,0.3,1.5455687,0.0
L1_mm,40.3,0.3,1.5455687,0.0
L1_mm,40.4,0.3,1.5457858,0.00021708012
L1_mm,40.5,0.3,1.5459307,0.0003620386
L1_mm,40.6,0.3,1.5461401,0.0005713701
L1_mm,40.7,0.3,1.5461401,0.0005713701
L1_mm,40.8,0.3,1.5457622,0.00019347668
L1_mm,40.9,0.3,1.5462085,0.00063979626
L1_mm,41.0,0.3,1.5462415,0.00067281723
L1_mm,41.1,0.3,1.5459992,0.00043046474
L1_mm,41.2,0.3,1.545734,0.00016534328
L1_mm,41.3,0.3,1.54563,6.1273575e-05
L1_mm,41.4,0.3,1.5455543,-1.4424324e-05
L1_mm,41.5,0.3,1.5447847,-0.0007840395
L1_mm,41.6,0.3,1.5437729,-0.0017957687
L1_mm,41.7,0.3,1.5451175,-0.00045120716
L1_mm,41.8,0.3,1.5452611,-0.00030755997
L1_mm,41.9,0.3,1.5448712,-0.00069749355
L1_mm,42.0,0.3,1.5441561,-0.0014126301
L1_mm,42.1,0.3,1.5441561,-0.0014126301
