term,coefficient
L1_mm,-0.002143543090444664
L3_mm,-0.00407777971282283
L4_mm,0.005464891518870368
theta1_deg,0.00789489457277409
theta2_deg,0.004854593929180255
mu,0.027443865058023133
L1_mm^2,-2.819188249053191e-06
L1_mm L3_mm,-0.00011901838781565237
L1_mm L4_mm,0.00017047197112268913
L1_mm theta1_deg,-6.73889354394386e-05
L1_mm theta2_deg,-2.893907577001037e-05
L1_mm mu,-0.018348361186840936
L3_mm^2,8.436029557340203e-05
L3_mm L4_mm,-4.377915426370342e-05
L3_mm theta1_deg,8.882400854605008e-06
L3_mm theta2_deg,-7.159674682241531e-05
L3_mm mu,0.026328516865369363
L4_mm^2,-8.837736900810802e-06
L4_mm theta1_deg,-4.266910575097942e-05
L4_mm theta2_deg,1.0135176720460677e-05
L4_mm mu,-0.04185289284742354
theta1_deg^2,3.582215804621667e-05
theta1_deg theta2_deg,-1.585183956749049e-05
theta1_deg mu,-0.006009677337901777
theta2_deg^2,3.74266727924742e-06
theta2_deg mu,0.04117273026473592
mu^2,8.680091576344608
intercept,-0.30176703466739285
