term,coefficient
L1_mm,-0.03862391763873299
L3_mm,0.13219581414699993
L4_mm,0.06419328924916587
theta1_deg,0.13980986455240815
theta2_deg,0.3403372558018726
mu,0.4534416536607105
L1_mm^2,-0.0004965932555004005
L1_mm L3_mm,-0.0008533228579329691
L1_mm L4_mm,0.0018392215080961338
L1_mm theta1_deg,-0.0006981142168586466
L1_mm theta2_deg,-0.00030117069447701454
L1_mm mu,-0.2256541701987682
L3_mm^2,0.000763838985653461
L3_mm L4_mm,-0.0002994434285921388
L3_mm theta1_deg,-0.00034308580645355826
L3_mm theta2_deg,-0.0016815588326656308
L3_mm mu,-0.06014898007320053
L4_mm^2,0.0001761544502771658
L4_mm theta1_deg,-0.0007745246733767124
L4_mm theta2_deg,-0.00035219510174985206
L4_mm mu,-0.7203693034250923
theta1_deg^2,0.0009456751555324083
theta1_deg theta2_deg,-0.0001009201042114485
theta1_deg mu,0.1643045907421529
theta2_deg^2,-0.00039109447238834007
theta2_deg mu,0.7332039304690189
mu^2,144.2625543668834
intercept,-20.522706222284423
