Effect,SS,Contribution_percent
mu,618.7053696485941,98.86003165624676
theta2_deg,2.577800707722655,0.4118946950689942
theta2_deg × mu,2.5026784710985135,0.39989126491455934
L4_mm,0.8248848643856506,0.13180448692766494
L4_mm × mu,0.7599888647729918,0.12143505926338735
L1_mm,0.12315281288395397,0.019678010855439142
theta1_deg,0.12062170229820929,0.019273576556163057
L1_mm × mu,0.0964986140117943,0.01541906132382247
L3_mm,0.05370503352975925,0.008581275636685202
L3_mm × mu,0.02913680537943303,0.004655633591492292
theta1_deg × mu,0.0279866160969921,0.004471850236036094
L4_mm × theta2_deg,0.011138001928971103,0.0017796891336353102
theta1_deg × theta2_deg,0.004067001207833817,0.0006498470643317756
L1_mm × L4_mm,0.0013676291257493228,0.00021852704905789784
L1_mm × theta2_deg,0.0010736449284554804,0.00017155269183288682
L3_mm × theta2_deg,0.00012149906599674524,1.9413766390074746e-05
L3_mm × L4_mm,8.854922761076777e-05,1.4148866122995985e-05
L4_mm × theta1_deg,4.413209535190578e-05,7.05166070568274e-06
L1_mm × theta1_deg,8.532697584931059e-06,1.3633997614059363e-06
L1_mm × L3_mm,5.810855668040465e-06,9.284893965259068e-07
L3_mm × theta1_deg,5.677979661001078e-06,9.072577620409333e-07
