Effect,SS,Contribution_percent
mu,36225.74708960226,94.9566190866009
theta2_deg × mu,738.4401062033639,1.9356336726357855
theta2_deg,713.88299421849,1.8712634245123458
L4_mm × mu,189.22083317820022,0.4959944796972547
L4_mm,182.55857799515513,0.47853106545463375
theta1_deg × mu,35.69124048108405,0.09355554541657292
theta1_deg,34.37222143730132,0.09009807113457531
L1_mm × mu,12.458777591463381,0.032657529328824576
L1_mm,12.007820286768954,0.03147545899359387
L4_mm × theta2_deg,3.609104681049639,0.009460353642795268
theta1_deg × theta2_deg,1.3135415102450054,0.0034431163154278765
L1_mm × theta2_deg,0.2385990222894187,0.0006254268936933742
L1_mm × L4_mm,0.22366960946585823,0.0005862932199787374
L4_mm × theta1_deg,0.020223855596922406,5.3011714227160404e-05
L1_mm × theta1_deg,0.0013216762210413928,3.464439399050186e-06
L3_mm,4.852234124207867e-28,1.2718902561533666e-30
L3_mm × L4_mm,3.2259764398098865e-28,8.456080014573404e-31
L3_mm × theta1_deg,1.9526861569574967e-28,5.1184720950893e-31
L3_mm × theta2_deg,8.774392551819739e-29,2.299984729641646e-31
L3_mm × mu,2.0951296599089244e-29,5.491851653491896e-32
L1_mm × L3_mm,6.982006506791854e-31,1.8301561336630046e-33
