Effect,SS,Contribution_percent
theta2_deg,0.7680072658707696,63.88907900346483
L4_mm,0.2608806784976748,21.7021726482208
theta1_deg,0.09597510720485872,7.983988536391008
L1_mm,0.04634189638529933,3.855095141546441
L3_mm,0.02752529404456093,2.2897774070049777
L4_mm × theta2_deg,0.0016100803965744346,0.13393955790515022
theta1_deg × theta2_deg,0.0010858439028668613,0.09032931064400215
L1_mm × L4_mm,0.0003569102158609799,0.02969068912705153
L1_mm × theta2_deg,0.00017826666941194586,0.014829668717822783
L4_mm × theta1_deg,4.885072038817318e-05,0.00406379948856022
L3_mm × theta2_deg,3.617856128236908e-05,0.0030096264224535436
L3_mm × L4_mm,3.340597487579958e-05,0.0027789801774959376
L1_mm × theta1_deg,8.269893791427871e-06,0.0006879568999802972
L3_mm × theta1_deg,4.518225259765727e-06,0.0003758626557384625
L1_mm × L3_mm,2.185544501051935e-06,0.00018181133369223979
