Effect,SS,Contribution_percent
theta2_deg,235.0466006403081,75.60096415402225
L4_mm,59.70522351780696,19.20373428367525
theta1_deg,11.17701739211367,3.5950032415195925
L1_mm,3.914029311218444,1.2589179713687524
L4_mm × theta2_deg,0.6716070565102392,0.21601733812146753
theta1_deg × theta2_deg,0.29016925011101935,0.09333074810051391
L1_mm × L4_mm,0.05508098398104441,0.01771638255637507
L1_mm × theta2_deg,0.04410185863174987,0.014185029796056988
L4_mm × theta1_deg,0.00038269198582402674,0.00012308998736207337
L1_mm × theta1_deg,2.4128818877380526e-05,7.760852384414e-06
L3_mm,3.937528165669857e-27,1.2664762004526966e-27
L3_mm × theta2_deg,3.029802949748863e-28,9.74513239390512e-29
L1_mm × L3_mm,2.304137807593682e-28,7.411085262381142e-29
L3_mm × L4_mm,1.4329149897834361e-28,4.608862858823292e-29
L3_mm × theta1_deg,7.11881485343854e-30,2.289713040255874e-30
