Parameter,Parameter_Value,BF
L1_mm,35.0,1.5617321462073883
L1_mm,35.1,1.561429785505457
L1_mm,35.2,1.5611267334775185
L1_mm,35.3,1.5608229914289247
L1_mm,35.4,1.5605185606666798
L1_mm,35.5,1.560213442499435
L1_mm,35.6,1.5599076382374655
L1_mm,35.7,1.5596011491926636
L1_mm,35.8,1.5592939766785212
L1_mm,35.9,1.558986122010118
L1_mm,36.0,1.558677586504107
L1_mm,36.1,1.5583683714786989
L1_mm,36.2,1.558058478253652
L1_mm,36.3,1.5577479081502554
L1_mm,36.4,1.5574366624913178
L1_mm,36.5,1.5571247426011487
L1_mm,36.6,1.5568121498055532
L1_mm,36.7,1.55649888543181
L1_mm,36.8,1.5561849508086618
L1_mm,36.9,1.5558703472663011
L1_mm,37.0,1.555555076136356
L1_mm,37.1,1.5552391387518762
L1_mm,37.2,1.5549225364473207
L1_mm,37.3,1.5546052705585431
L1_mm,37.4,1.5542873424227779
L1_mm,37.5,1.5539687533786266
L1_mm,37.6,1.5536495047660452
L1_mm,37.7,1.55332959792633
L1_mm,37.8,1.553009034202103
L1_mm,37.9,1.5526878149372998
L1_mm,38.0,1.5523659414771553
L1_mm,38.1,1.5520434151681903
L1_mm,38.2,1.551720237358197
L1_mm,38.3,1.5513964093962276
L1_mm,38.4,1.551071932632578
L1_mm,38.5,1.5507468084187765
L1_mm,38.6,1.5504210381075691
L1_mm,38.7,1.5500946230529062
L1_mm,38.8,1.5497675646099303
L1_mm,38.9,1.5494398641349598
L1_mm,39.0,1.5491115229854782
L1_mm,39.1,1.5487825425201196
L1_mm,39.2,1.5484529240986546
L1_mm,39.3,1.5481226690819792
L1_mm,39.4,1.5477917788320967
L1_mm,39.5,1.5474602547121106
L1_mm,39.6,1.5471280980862063
L1_mm,39.7,1.546795310319639
L1_mm,39.8,1.5464618927787224
L1_mm,39.9,1.546127846830812
L1_mm,40.0,1.5457931738442943
L1_mm,40.1,1.5454578751885724
L1_mm,40.2,1.5451219522340531
L1_mm,40.3,1.5447854063521342
L1_mm,40.4,1.544448238915189
L1_mm,40.5,1.544110451296556
L1_mm,40.6,1.5437720448705234
L1_mm,40.7,1.5434330210123175
L1_mm,40.8,1.543093381098089
L1_mm,40.9,1.542753126504897
L1_mm,41.0,1.5424122586107027
L1_mm,41.1,1.5420707787943495
L1_mm,41.2,1.541728688435553
L1_mm,41.3,1.5413859889148855
L1_mm,41.4,1.5410426816137683
L1_mm,41.5,1.5406987679144528
L1_mm,41.6,1.5403542492000097
L1_mm,41.7,1.5400091268543161
L1_mm,41.8,1.539663402262044
L1_mm,41.9,1.5393170768086435
L1_mm,42.0,1.5389701518803331
L1_mm,42.1,1.5386226288640863
L1_mm,42.2,1.538274509147617
L1_mm,42.3,1.537925794119369
L1_mm,42.4,1.5375764851684999
L1_mm,42.5,1.5372265836848715
L1_mm,42.6,1.5368760910590358
L1_mm,42.7,1.5365250086822213
L1_mm,42.8,1.5361733379463207
L1_mm,42.9,1.5358210802438796
L1_mm,43.0,1.535468236968081
L1_mm,43.1,1.5351148095127352
L1_mm,43.2,1.534760799272264
L1_mm,43.3,1.534406207641692
L1_mm,43.4,1.5340510360166315
L1_mm,43.5,1.5336952857932684
L1_mm,43.6,1.533338958368354
L1_mm,43.7,1.532982055139187
L1_mm,43.8,1.5326245775036067
L1_mm,43.9,1.5322665268599747
L1_mm,44.0,1.531907904607166
L1_mm,44.1,1.5315487121445568
L1_mm,44.2,1.5311889508720085
L1_mm,44.3,1.5308286221898597
L1_mm,44.4,1.53046772749891
L1_mm,44.5,1.5301062682004103
L1_mm,44.6,1.5297442456960493
L1_mm,44.7,1.5293816613879392
L1_mm,44.8,1.5290185166786072
L1_mm,44.9,1.5286548129709816
L1_mm,45.0,1.5282905516683774
L3_mm,138.15,1.5328098614484915
L3_mm,138.20000000000002,1.5330695276964075
L3_mm,138.25,1.5333291939443237
L3_mm,138.3,1.5335888601922398
L3_mm,138.35,1.533848526440156
L3_mm,138.4,1.5341081926880715
L3_mm,138.45000000000002,1.5343678589359877
L3_mm,138.5,1.5346275251839039
L3_mm,138.55,1.5348871914318198
L3_mm,138.6,1.535146857679736
L3_mm,138.65,1.535406523927652
L3_mm,138.70000000000002,1.5356661901755682
L3_mm,138.75,1.5359258564234843
L3_mm,138.8,1.5361855226714005
L3_mm,138.85,1.5364451889193165
L3_mm,138.9,1.5367048551672324
L3_mm,138.95000000000002,1.5369645214151488
L3_mm,139.0,1.5372241876630648
L3_mm,139.05,1.5374838539109805
L3_mm,139.1,1.5377435201588967
L3_mm,139.15,1.5380031864068129
L3_mm,139.20000000000002,1.5382628526547288
L3_mm,139.25,1.5385225189026448
L3_mm,139.3,1.538782185150561
L3_mm,139.35,1.5390418513984767
L3_mm,139.4,1.5393015176463931
L3_mm,139.45000000000002,1.539561183894309
L3_mm,139.5,1.5398208501422248
L3_mm,139.55,1.540080516390141
L3_mm,139.6,1.5403401826380572
L3_mm,139.65,1.5405998488859733
L3_mm,139.70000000000002,1.5408595151338893
L3_mm,139.75,1.5411191813818055
L3_mm,139.8,1.5413788476297214
L3_mm,139.85,1.5416385138776376
L3_mm,139.9,1.5418981801255538
L3_mm,139.95000000000002,1.54215784637347
L3_mm,140.0,1.5424175126213857
L3_mm,140.05,1.542677178869302
L3_mm,140.1,1.5429368451172178
L3_mm,140.15,1.5431965113651338
L3_mm,140.20000000000002,1.54345617761305
L3_mm,140.25,1.5437158438609662
L3_mm,140.3,1.5439755101088823
