Parameter,Parameter_Value,Delta_BF_percent
L1_mm,35.0,28.26722542969136
L1_mm,35.1,28.26445125904321
L1_mm,35.2,28.26167101239474
L1_mm,35.3,28.258884703631644
L1_mm,35.4,28.256092346655375
L1_mm,35.5,28.253293955383253
L1_mm,35.6,28.250489543748085
L1_mm,35.7,28.247679125698177
L1_mm,35.8,28.244862715196984
L1_mm,35.9,28.24204032622326
L1_mm,36.0,28.239211972770477
L1_mm,36.1,28.23637766884708
L1_mm,36.2,28.233537428476087
L1_mm,36.3,28.23069126569505
L1_mm,36.4,28.22783919455573
L1_mm,36.5,28.224981229124204
L1_mm,36.6,28.222117383480477
L1_mm,36.7,28.219247671718474
L1_mm,36.8,28.216372107945737
L1_mm,36.9,28.213490706283462
L1_mm,37.0,28.21060348086623
L1_mm,37.1,28.207710445841727
L1_mm,37.2,28.20481161537092
L1_mm,37.3,28.20190700362758
L1_mm,37.4,28.198996624798273
L1_mm,37.5,28.19608049308225
L1_mm,37.6,28.193158622691133
L1_mm,37.7,28.190231027848927
L1_mm,37.8,28.187297722791772
L1_mm,37.9,28.18435872176785
L1_mm,38.0,28.181414039037122
L1_mm,38.1,28.17846368887133
L1_mm,38.2,28.175507685553715
L1_mm,38.3,28.172546043378873
L1_mm,38.4,28.16957877665272
L1_mm,38.5,28.16660589969222
L1_mm,38.6,28.16362742682526
L1_mm,38.7,28.160643372390524
L1_mm,38.8,28.157653750737328
L1_mm,38.9,28.154658576225412
L1_mm,39.0,28.151657863224944
L1_mm,39.1,28.14865162611615
L1_mm,39.2,28.14563987928938
L1_mm,39.3,28.142622637144754
L1_mm,39.4,28.139599914092184
L1_mm,39.5,28.136571724551118
L1_mm,39.6,28.133538082950444
L1_mm,39.7,28.130499003728293
L1_mm,39.8,28.12745450133188
L1_mm,39.9,28.124404590217445
L1_mm,40.0,28.121349284850027
L1_mm,40.1,28.118288599703302
L1_mm,40.2,28.115222549259478
L1_mm,40.3,28.11215114800914
L1_mm,40.4,28.10907441045107
L1_mm,40.5,28.105992351092148
L1_mm,40.6,28.102904984447118
L1_mm,40.7,28.09981232503853
L1_mm,40.8,28.09671438739658
L1_mm,40.9,28.093611186058908
L1_mm,41.0,28.090502735570432
L1_mm,41.1,28.087389050483353
L1_mm,41.2,28.084270145356843
L1_mm,41.3,28.081146034756916
L1_mm,41.4,28.078016733256415
L1_mm,41.5,28.074882255434698
L1_mm,41.6,28.071742615877643
L1_mm,41.7,28.068597829177317
L1_mm,41.8,28.06544790993202
L1_mm,41.9,28.062292872746042
L1_mm,42.0,28.059132732229518
L1_mm,42.1,28.055967502998296
L1_mm,42.2,28.05279719967383
L1_mm,42.3,28.049621836882988
L1_mm,42.4,28.046441429257875
L1_mm,42.5,28.043255991435746
L1_mm,42.6,28.0400655380589
L1_mm,42.7,28.036870083774417
L1_mm,42.8,28.033669643234155
